Taxa,Tool,Total_Nucleotides
xca,Fur,4072
sme2,Fur,344482
bth2,Fur,84065
gsu,Fur,188737
ecl,Fur,49351
lmo,Fur,6995
psy2,Fur,1420
lpn,Fur,9587
lin,Fur,2932
sau,Fur,769
cvi2,Fur,21903
bfr,Fur,442391
cje,Fur,19653
lsa,Fur,247
sep,Fur,133868
sfr,Fur,687068
psy1,Fur,457191
bap,Fur,4286
bps,Fur,76827
tde,Fur,49653
ngo,Fur,9396
cdi,Fur,63771
sco,Fur,3577617
eco4,Fur,18032
hin,Fur,39123
eco2,Fur,4309
dtu,Fur,84591
ahy,Fur,13472
spy,Fur,10116
vpa,Fur,191693
mci,Fur,1738813
efa2,Fur,151703
bma,Fur,72715
fps,Fur,73672
bpa,Fur,445731
son1,Fur,209446
lac,Fur,833
rru,Fur,46954
sru,Fur,196224
sdy,Fur,104005
cbo1,Fur,48054
cbo2,Fur,48054
sag,Fur,67836
eco1,Fur,295
eco5,Fur,2517
tac,Fur,354166
yen,Fur,194780
bfa,Fur,296129
cte,Fur,144242
nme,Fur,473
msm,Fur,399941
tma,Fur,14048
kae,Fur,404960
ssu,Fur,24640
bbr,Fur,125904
ppu,Fur,266107
smi,Fur,510014
afi,Fur,332244
mfl,Fur,18736
bbu,Fur,3718
tth,Fur,96678
efa1,Fur,76929
bbi,Fur,42687
xca,SeqWin,126415
kvu,SeqWin,1537
sme2,SeqWin,538023
bth2,SeqWin,236213
ame,SeqWin,202
gsu,SeqWin,285551
ecl,SeqWin,786944
eco3,SeqWin,329328
lmo,SeqWin,21801
psy2,SeqWin,860043
lpn,SeqWin,233771
sen2,SeqWin,376654
lin,SeqWin,7722
sau,SeqWin,740
cvi2,SeqWin,25463
bfr,SeqWin,583112
cje,SeqWin,139815
lsa,SeqWin,98027
sep,SeqWin,174860
sfr,SeqWin,3477026
psy1,SeqWin,2962474
bap,SeqWin,410219
bps,SeqWin,104614
tde,SeqWin,53074
ngo,SeqWin,26531
cdi,SeqWin,164985
sco,SeqWin,7493923
cpn,SeqWin,1059
hin,SeqWin,66191
eco2,SeqWin,5236
dtu,SeqWin,1659737
ahy,SeqWin,126084
spy,SeqWin,39643
vpa,SeqWin,245426
mci,SeqWin,3722106
efa2,SeqWin,202462
cac,SeqWin,770
bma,SeqWin,70715
fps,SeqWin,80452
bpa,SeqWin,596120
cbu,SeqWin,478
son1,SeqWin,3280683
lac,SeqWin,1975
rru,SeqWin,41490
sru,SeqWin,454423
sdy,SeqWin,93508
cbo1,SeqWin,234857
cbo2,SeqWin,234436
sag,SeqWin,105677
eco1,SeqWin,433316
eco5,SeqWin,4415
tac,SeqWin,1736065
yen,SeqWin,636619
bfa,SeqWin,2398601
cte,SeqWin,1414444
nme,SeqWin,8687
msm,SeqWin,1251081
tma,SeqWin,40651
kae,SeqWin,739253
ssu,SeqWin,21651
bbr,SeqWin,330209
mtu2,SeqWin,1702
ppu,SeqWin,686653
smi,SeqWin,1220861
afi,SeqWin,968608
mfl,SeqWin,133468
bbu,SeqWin,32361
tth,SeqWin,152616
ban2,SeqWin,224
efa1,SeqWin,104005
bbi,SeqWin,49636